,"{'AB': {'n_estimators': 50, 'learning_rate': 1.0}}","{'AB': {'n_estimators': 50, 'learning_rate': 2.0}}","{'AB': {'n_estimators': 100, 'learning_rate': 1.0}}","{'AB': {'n_estimators': 100, 'learning_rate': 2.0}}",{'DT': {'min_samples_split': 0.01}},{'DT': {'min_samples_split': 0.001}},{'DT': {'min_samples_split': 0.0001}},{'DT': {'min_samples_split': 1.0000000000000001e-05}},{'GBT': {'learning_rate': 0.10000000000000001}},{'GBT': {'learning_rate': 0.01}},{'GBT': {'learning_rate': 0.001}},{'GNB': {}},{'KNN': {'n_neighbors': 1}},{'KNN': {'n_neighbors': 3}},{'KNN': {'n_neighbors': 5}},{'KNN': {'n_neighbors': 7}},{'KNN': {'n_neighbors': 9}},{'KNN': {'n_neighbors': 11}},{'KNN': {'n_neighbors': 13}},{'Logit': {'C': 0.25}},{'Logit': {'C': 0.5}},{'Logit': {'C': 0.75}},{'Logit': {'C': 1.0}},{'Logit': {'C': 2.0}},{'Perceptron': {}},{'RF': {'min_samples_split': 0.01}},{'RF': {'min_samples_split': 0.001}},{'RF': {'min_samples_split': 0.0001}},{'RF': {'min_samples_split': 1.0000000000000001e-05}},{'kSVM': {'C': 0.25}},{'kSVM': {'C': 0.5}},{'kSVM': {'C': 0.75}},{'kSVM': {'C': 1.0}},{'kSVM': {'C': 2.0}},{'lSVM': {'C': 0.25}},{'lSVM': {'C': 0.5}},{'lSVM': {'C': 0.75}},{'lSVM': {'C': 1.0}},{'lSVM': {'C': 2.0}}
3,0.035039394,0.12460838199999999,0.030037345,0.160431389,0.011554673,0.004462353,0.003410388,0.004650498,0.021102522999999998,0.09225104,0.09883886199999999,0.394044155,0.138558736,0.060479316,0.048876565999999996,0.050758952999999996,0.06154426599999999,0.063793578,0.046529885,0.045724454000000005,0.042302085999999996,0.040681936,0.036941842,0.08329904,0.055392527000000004,0.020799141,0.008887232,0.008229975,0.008314003,0.079023025,0.073538194,0.059490786,0.059304978,0.055279225999999994,0.036188596,0.033290005,0.031479494,0.032493518,0.027653484
6,0.37239625299999995,0.432760304,0.37281865,0.424136433,0.152107986,0.076611354,0.060596400999999994,0.060949418,0.041301608,0.141781287,0.18674449999999998,0.18601263,0.023817711000000002,0.025262809,0.027432366,0.028401957000000002,0.029348426,0.031698321,0.146342121,0.14563869699999998,0.144852387,0.14509587599999998,0.145103124,0.250551208,0.215845633,0.08929268,0.027793598,0.018607164,0.017984777,0.050745843,0.036622131,0.030081583999999998,0.026474892000000003,0.020537512,0.155927781,0.15596505,0.155804799,0.15586757699999998,0.155962501
12,0.36594381600000003,0.17888721300000002,0.34154481700000006,0.109800575,0.07138316,0.060654167,0.065231807,0.059455505,0.023613962000000002,0.041878422,0.06046118599999999,0.04130285,0.019438167,0.017475324,0.018712533,0.018557586,0.01923686,0.019295903,0.011643856000000001,0.010500748999999998,0.011996939,0.010810179,0.010014133,0.037479992999999996,0.0480019,0.02090476,0.017394494,0.01859831,0.017301237,0.016541097,0.01650692,0.012675042,0.013875796000000001,0.013295936000000001,0.009305551,0.010881485,0.010933573,0.011414964,0.010998879
14,0.30359804100000004,0.28199721699999997,0.289499783,0.23336362300000002,0.14972439,0.150590735,0.148209025,0.143513299,0.094415871,0.122016482,0.14890251,0.128678639,0.11945294,0.10789036099999999,0.109127605,0.10610198900000001,0.10431993,0.111964204,0.10133521699999999,0.10121782800000001,0.10292474900000001,0.105999223,0.101194806,0.131158861,0.120965468,0.097082678,0.09355825699999999,0.094552187,0.093704229,0.10917477199999999,0.099743662,0.096012424,0.098205172,0.09094437400000001,0.101310124,0.103261683,0.101952636,0.107666863,0.107861388
16,0.36709066,0.279195719,0.366070403,0.214618001,0.105483538,0.10362478300000001,0.10325807599999999,0.104629772,0.035094503,0.068716561,0.11847762099999999,0.036732532000000005,0.021609781,0.02246481,0.024127274,0.026282318,0.02710422,0.029764712000000002,0.028528182000000003,0.027905136,0.027450178,0.026228487999999998,0.026157827999999998,0.040554566,0.056784354,0.024582151,0.020611444,0.021490194,0.020480253,0.01850149,0.016016286,0.013687932,0.012227975,0.011846296999999999,0.027729000000000004,0.031345574,0.032016033,0.031513602,0.035528713999999996
18,0.42335328,0.365586707,0.400589331,0.332683678,0.181673401,0.195502693,0.195524979,0.195696995,0.166243463,0.14434582199999998,0.158758008,0.22058655800000002,0.18630485600000002,0.17078328899999998,0.158396584,0.153494395,0.153208815,0.154869759,0.157049359,0.150870479,0.14786321800000002,0.148608517,0.145807753,0.21318957100000002,0.17199373399999998,0.158937843,0.161164693,0.165579561,0.161985438,0.167172557,0.162386031,0.157542255,0.156336954,0.150316725,0.148401382,0.147228127,0.148404432,0.145842622,0.14505031
21,0.146653841,0.267859601,0.149978756,0.277315362,0.076960813,0.020112947,0.02722089,0.02638743,0.017540818,0.299978847,0.5,0.287621594,0.226527755,0.23946189199999998,0.181042322,0.107483602,0.10776508,0.14190185800000002,0.398738861,0.386712635,0.38152046100000003,0.380116324,0.35927216700000003,0.341740052,0.31598184100000004,0.082462465,0.024828625,0.030178811,0.025380325,0.17652686399999998,0.09794331,0.069835941,0.043359987999999995,0.028502866,0.376492192,0.358104215,0.352470348,0.340989499,0.32063486
22,0.306792325,0.295883357,0.293710578,0.24244323399999998,0.186205486,0.185005421,0.183911435,0.184361955,0.12018610699999999,0.156836015,0.185196618,0.147731099,0.118812822,0.1155525,0.108910101,0.107321305,0.10850109,0.10842377,0.10363872199999999,0.101193496,0.10086611599999999,0.10180191599999999,0.09618750699999999,0.123152921,0.171448435,0.133526601,0.12538207199999998,0.123155856,0.125484836,0.096291549,0.09388575800000001,0.093147775,0.092560965,0.095002815,0.09614940300000001,0.096926101,0.09434936,0.093486994,0.091752671
23,0.36032935200000005,0.402625664,0.36556632200000005,0.40600840299999996,0.381280281,0.39524991600000003,0.410188845,0.40113402200000003,0.33941615299999994,0.352824569,0.478158938,0.38368550100000004,0.42618592899999996,0.41618597700000004,0.39415832,0.392275096,0.38469828100000003,0.383108323,0.389813167,0.392009065,0.39225237,0.394668629,0.39219545299999997,0.44002952799999995,0.363395195,0.36389838799999996,0.382924795,0.375941609,0.37216402,0.358588659,0.356250415,0.354246267,0.35426502,0.348665315,0.39531373700000005,0.393707621,0.396639731,0.391199994,0.396094544
24,0.0,0.35787490000000005,0.0,0.38458484600000004,0.0028272009999999997,0.0,0.0,0.0,0.0,0.021369026,0.05922227099999999,0.099938371,0.00036406199999999996,0.0,0.000490808,0.001414111,0.0013488620000000002,0.0016954429999999998,0.050848992,0.045821500999999994,0.043095142,0.039173072,0.036566279,0.084280017,0.012177749,0.0,0.0,0.0,0.0,0.001153895,0.000257732,0.0,0.0,0.0,0.039974373,0.038052168,0.037492581000000004,0.041786797,0.043396467
26,0.176546533,0.15732167800000002,0.206503317,0.156296443,0.060293487,0.019733402,0.01127529,0.011394973000000001,0.027776591,0.16697701199999998,0.17116762600000002,0.118488698,0.081480582,0.050278892,0.040888811000000004,0.032751814,0.027845777999999998,0.034522435,0.14762487900000001,0.14789223099999999,0.147783561,0.147818162,0.147513767,0.206864385,0.15872725199999999,0.13457343300000002,0.026991077999999998,0.011393212,0.014426929,0.06689273,0.039927683,0.02997406,0.025574426,0.020744564,0.148083319,0.14780457,0.148220348,0.14776652699999998,0.148009905
28,0.154967735,0.278782594,0.149003116,0.228352296,0.07716986299999999,0.054083147000000005,0.052297752999999995,0.051565444,0.012673541000000002,0.04586371,0.084499719,0.154173098,0.011461033,0.011427874,0.011712937,0.012225831999999999,0.01294038,0.014013365,0.020550159,0.020258694,0.019513991,0.018706853,0.018894332,0.03245577,0.06227811900000001,0.016150565,0.010802316000000001,0.008975246,0.008946678000000001,0.013133597,0.009735814,0.008012838000000001,0.007304985999999999,0.006800103,0.018030901000000002,0.018444705,0.018210592,0.018133014,0.019352749
30,0.258269666,0.24146980899999998,0.226703679,0.235195934,0.10974882400000001,0.096167535,0.1127849,0.10695384599999999,0.094943974,0.16451633400000001,0.49,0.18162483699999998,0.098632032,0.11933828699999999,0.121787351,0.146735103,0.134333936,0.17121046399999998,0.217732347,0.20934425899999998,0.19740766,0.21011106699999998,0.20096010399999997,0.21398880899999997,0.23064617,0.151263519,0.095817819,0.079319026,0.08801601699999999,0.282777349,0.251831411,0.232293912,0.211921668,0.18808511600000002,0.203109712,0.195818873,0.21270697800000002,0.19463274600000002,0.19725836
31,0.320799718,0.46112195899999997,0.330004715,0.38248686299999995,0.375945601,0.37421173399999996,0.344286197,0.36512110200000003,0.308680035,0.45129441600000003,0.5,0.294804652,0.374421939,0.3652083,0.36182481,0.35877486399999997,0.35893065,0.36837982700000005,0.353385106,0.341427848,0.32661824100000003,0.329544142,0.33439546,0.38894657200000005,0.41625331299999996,0.3338933,0.33935548600000004,0.338164311,0.322881323,0.42720250600000004,0.360947015,0.34964578799999996,0.334024237,0.32929770399999997,0.327195657,0.333305491,0.326754922,0.328293326,0.31994420100000004
32,0.374385354,0.295145498,0.36291096700000003,0.243327291,0.04496615,0.023775183999999998,0.019411348999999998,0.020165704,0.0057527030000000005,0.047852193,0.07467154299999999,0.079941395,0.003269755,0.0033574779999999997,0.003652828,0.004360393,0.004870888,0.005302846,0.042030367,0.039192575,0.038447235,0.038588591,0.037609562,0.056937624000000006,0.091696604,0.013715348,0.0054070540000000005,0.004282902,0.004897692,0.00474526,0.0036951159999999996,0.0031650309999999996,0.002953496,0.002506946,0.038093654,0.038043623,0.037565608,0.037121104,0.036866038
36,0.276498187,0.13992433,0.260725687,0.09687022699999999,0.029271459,0.021481528,0.019401959,0.020250294,0.010151645,0.027579002000000002,0.037705941,0.117035494,0.019393585,0.026348429,0.031494512999999995,0.035177857,0.037090733,0.038822594,0.056946091,0.05377957,0.052706769,0.053916306,0.049501357,0.07024844400000001,0.050919247,0.016233973999999998,0.012733841000000001,0.011312436,0.013081421999999999,0.047443128,0.03924509,0.034251079,0.03448279,0.028076777999999997,0.050399625999999996,0.049532364,0.050040072000000005,0.049783792,0.049157855
38,0.11703030800000001,0.592998135,0.112056201,0.556203546,0.105107009,0.058183953,0.05230329,0.04792767,0.064519602,0.148102289,0.5,0.370590759,0.19402024399999998,0.19138840199999999,0.202841049,0.192851018,0.21741061899999997,0.22140790300000002,0.265371399,0.22736484,0.22553739999999997,0.22481468899999998,0.22721771100000002,0.298354362,0.36708804899999997,0.112005229,0.10028804,0.088015254,0.09706116699999999,0.325630824,0.263555512,0.222972979,0.211554788,0.170664338,0.222918483,0.22506789100000002,0.231835113,0.22898365899999998,0.225450326
44,0.06639766400000001,0.652219949,0.06462395900000001,0.685071788,0.09461892300000001,0.084655762,0.085268358,0.08928839300000001,0.058994352,0.101012647,0.5,0.157776591,0.091948813,0.096413841,0.09924080699999999,0.102046482,0.100375745,0.100208529,0.083272336,0.08193118,0.083803159,0.082122522,0.080234233,0.11641915,0.08023072,0.06363128700000001,0.050038827,0.049300776,0.049325812000000004,0.088404841,0.07834402900000001,0.076073739,0.071945627,0.0707303,0.083314087,0.084736516,0.08110358299999999,0.080374936,0.079375137
46,0.044479437999999996,0.562632462,0.04966595099999999,0.5790494979999999,0.051536877,0.062126083,0.064185765,0.070282332,0.029234955,0.048265855,0.471511048,0.05394898,0.156593197,0.148528117,0.135451655,0.12779222199999998,0.124355895,0.12335421,0.068681632,0.06885688400000001,0.066199227,0.069332485,0.06512639099999999,0.089747336,0.073642661,0.039756075,0.034646009,0.032916177000000005,0.037295697999999995,0.071036815,0.063425135,0.061300979000000005,0.05674963,0.055936256,0.066422117,0.06592239999999999,0.067155653,0.064873413,0.06722811299999999
57,0.070368812,0.143511996,0.048898567999999996,0.10874756199999999,0.043345884,0.035804808,0.035606652999999995,0.035399289,0.038763738,0.042317827,0.3875,0.36157353799999997,0.217566703,0.247665898,0.249863731,0.241391455,0.24790155100000003,0.253779273,0.249485745,0.24434236899999998,0.24293193800000001,0.240936966,0.22677045199999998,0.241213543,0.09049431699999999,0.035761569,0.035265427,0.031117794,0.028744542999999997,0.285576645,0.256705704,0.24472729699999998,0.224892537,0.21750974,0.252330819,0.24873399100000002,0.245188077,0.24421233,0.244263486
